,index,spotify_artist_id,list_original_name,music_story_id,instagram_url,instagram_username,facebook_url,facebook_username,twitter_url,twitter_username,instagram_followers,instagram_data
439,440,4YXycRbyyAE0wozTk7QMEq,"""Matoma""",4567659,http://instagram.com/matomaofficial,matomaofficial,,,,,-1,
440,441,27mFvqQj8KpjmdKIqcw1mG,"""Ayo & Teo""",,,,,,,,-1,
441,442,17lzZA2AlOHwCwFALHttmp,"""2 Chainz""",,,,,,,,-1,
442,443,6beUvFUlKliUYJdLOXNj9C,"""King Princess""",,,,,,,,-1,
443,444,3AQRLZ9PuTAozP28Skbq8V,"""The Script""",,,,,,,,-1,
445,446,1gPhS1zisyXr5dHTYZyiMe,"""Kevin Gates""",,,,,,,,-1,
446,447,7d3WFRME3vBY2cgoP38RDo,"""Lil Skies""",4708263,,,,,,,-1,
447,448,4riOEaOW5hCeqomFDBk0aP,"""Rochy RD""",,,,,,,,-1,
449,450,6trIghKwHRUyxwvm66HLHH,"""FousheÃ©""",,,,,,,,-1,
452,453,6HqgxkTt9KGyt27zYrwVan,"""Super Yei""",,,,,,,,-1,
453,454,74eY8wbrhhVD7pACbBHwHw,"""Imany""",141177,,,,,,,-1,
454,455,7kXCcNRLEnblbTAppPraBp,"""Milly""",4724886,,,,,,,-1,
455,456,71jSVPQ6yskfyvWeiwvT5s,"""S1mba""",,,,,,,,-1,
456,457,6Ha4aES39QiVjR0L2lwuwq,"""Yo Gotti""",107869,,,,,,,-1,
457,458,6prmLEyn4LfHlD9NnXWlf7,"""Adam Lambert""",,,,,,,,-1,
461,462,5TYxZTjIPqKM8K8NuP9woO,"""C. Tangana""",,,,,,,,-1,
462,463,4m6ubhNsdwF4psNf3R8kwR,"""Khea""",,,,,,,,-1,
463,464,6c4sUNBgdonFJz8Kx2VsGz,"""Madcon""",103143,,,,,,,-1,
465,466,77tT1kLj6mCWtFNqiOmP9H,"""Daryl Hall & John Oates""",,,,,,,,-1,
466,467,4MIULe6tfg2loNzBy5B9eu,"""T-Wayne""",4569045,,,,,,,-1,
468,469,0e86yPdC41PGRkLp2Q1Bph,"""Mother Mother""",154776,,,,,,,-1,
470,471,1g0fXhQMHAxlRyIBkCbuE7,"""Matt Simons""",4495787,,,,,,,-1,
471,472,7vPGzgDg3qGUY5bWtrO3K4,"""Conkarah""",4647879,,,,,,,-1,
473,474,1PKErrAhYFdfrDymGHRQRo,"""Nathan Evans""",,,,,,,,-1,
475,476,4LLpKhyESsyAXpc4laK94U,"""Mac Miller""",4469545,http://instagram.com/larryfisherman,larryfisherman,,,,,-1,
478,479,188VINPQh5dyNfLUkevKqf,"""Olivia Holt""",4676157,,,,,,,-1,
479,480,5NGO30tJxFlKixkPSgXcFE,"""The Police""",100270,http://www.instagram.com/thepoliceofficial,thepoliceofficial,,,,,-1,
482,483,5jAMCwdNHWr7JThxtMuEyy,"""NOTD""",,,,,,,,-1,
484,485,5F1aoppMtU3OMiltO8ymJ2,"""Hugh Jackman""",,,,,,,,-1,
485,486,4gwpcMTbLWtBUlOijbVpuu,"""Capital Cities""",4511741,,,,,,,-1,
488,489,1ackd5XprZEkH3McKbQD51,"""Juan MagÃ¡n""",118941,,,,,,,-1,
490,491,1RBzGO6Nm3uyhUSxP7EDWO,"""Kevin Roldan""",4560825,,,,,,,-1,
491,492,250b0Wlc5Vk0CoUsaCY84M,"""JENNIE""",,,,,,,,-1,
492,493,1bAftSH8umNcGZ0uyV7LMg,"""Duki""",,,,,,,,-1,
493,494,4fpTMHe34LC5t3h5ztK8qu,"""The Carters""",,,,,,,,-1,
496,497,5xKp3UyavIBUsGy3DQdXeF,"""A Great Big World""",127582,,,,,,,-1,
497,498,2rhFzFmezpnW82MNqEKVry,"""Ski Mask The Slump God""",4704573,,,,,,,-1,
498,499,7i9j813KFoSBMldGqlh2Z1,"""Riton""",4606,,,,,,,-1,
499,500,6ywXRaHY7m2DJ0dd7CsLAB,"""Ramz""",,,,,,,,-1,
500,501,6olE6TJLqED3rqDCT0FyPh,"""Nirvana""",100072,,,,,,,-1,
501,502,523y9KSneKh6APd1hKxLuF,"""Master KG""",,,,,,,,-1,
502,503,3hteYQFiMFbJY7wS0xDymP,"""Gesaffelstein""",157664,,,,,,,-1,
507,508,293zczrfYafIItmnmM3coR,"""Chuck Berry""",990,,,,,,,-1,
508,509,5uYe4bcAXlMP7d4mrOYkML,"""Niack""",,,,,,,,-1,
509,510,5lHRUCqkQZCIWeX7xG4sYT,"""Rich Homie Quan""",4561059,,,,,,,-1,
511,512,0imE3buPhAowREqCrr4CYe,"""Peach Tree Rascals""",,,,,,,,-1,
512,513,6BeO1KuAWBqFriL1mLHtNc,"""Leslie Grace""",4568135,,,,,,,-1,
513,514,5DUlefCLzVRzNWaNURTFpK,"""Cali Y El Dandee""",119327,,,,,,,-1,
516,517,0q4NrXqJnc367PieejuROJ,"""Vice""",4546835,,,,,,,-1,
517,518,0n6sKrG0xKAf8xmdqeNGke,"""Los Legendarios""",,,,,,,,-1,
518,519,5nkYRuiIHg2xXHFC8bfosJ,"""ItaloBrothers""",4487051,,,,,,,-1,
520,521,6XyY86QOPPrYVGvF9ch6wz,"""Linkin Park""",100273,,,,,,,-1,
521,522,3wVXTWabe3viT0jF7DfjOL,"""Vedo""",,,,,,,,-1,
523,524,1bj5GrcLom5gZFF5t949Xl,"""Martin Solveig""",5172,,,,,,,-1,
524,525,28j8lBWDdDSHSSt5oPlsX2,"""ZHU""",,,,,,,,-1,
525,526,5JSXWmQO8csVUy6hSRu8TA,"""Maty Noyes""",4685335,,,,,,,-1,
527,528,6y5amJcTjeDgLXIjtQLMst,"""Grace""",8049,,,,,,,-1,
528,529,6Xgp2XMz1fhVYe7i6yNAax,"""Trippie Redd""",,,,,,,,-1,
529,530,5lXfVoQxVgC5fpjkVqvNYn,"""Isaiah""",,,,,,,,-1,
531,532,391oLRVmoTkumiN79HkTWu,"""Darlene Love""",3392,,,,,,,-1,
533,534,1CoZyIx7UvdxT5c8UkMzHd,"""Jorja Smith""",,,,,,,,-1,
534,535,7HkdQ0gt53LP4zmHsL0nap,"""Ella Mai""",,,,,,,,-1,
535,536,3whuHq0yGx60atvA2RCVRW,"""Olly Murs""",136911,,,,,,,-1,
536,537,5QatamYwvUTOmMHW6WA0AG,"""Terror Jr""",4687541,,,,,,,-1,
537,538,73Np75Wv2tju61Eo9Zw4IR,"""Idina Menzel""",107393,,,,,,,-1,
538,539,3wjsrpfO6odEphTZWx45RQ,"""Hearts & Colors""",,,,,,,,-1,
540,541,0VRj0yCOv2FXJNP47XQnx5,"""Quavo""",4575415,,,,,,,-1,
541,542,0LyOADBjj28cbvJWTXUEGA,"""Loren Allred""",,,,,,,,-1,
542,543,2cQr2KbzdRtIFlfbHGnNsL,"""Ziv Zaifman""",,,,,,,,-1,
544,545,0RPzmE1iY76tx1eBBXFyYn,"""DJ Ivis""",,,,,,,,-1,
545,546,2iojnBLj0qIMiKPvVhLnsH,"""Trey Songz""",108177,,,,,,,-1,
546,547,0lzV2CiahHRiGd6qpADtPS,"""James Hersey""",4575691,,,,,,,-1,
